file,masked_line_no,cntx_start,cntx_end,masked_line,prediction,whole_prediction,loss,generated_tokens,log_prob_scores,first_token_var,vul_label,cntx_len,exact_match,mask_ast_complexity,pred_ast_complexity,first_line_pred_ast_complexity,scaled_first_token_var,neg_exact_match,masked_line_token_length,new_score
~/anvil/data/cve-targets/php_repo_ext_exif_exif.c,1917,1912,1922,if ((offset + length) > (info->valid_end - info->valid_start)) {,if (offset + length > info->valid_end - info->offset_base) {,	if (offset + length > info->valid_end - info->offset_base) {,0.52734375,"[[12, 361, 313, 10289, 718, 3309, 1405, 5235, 976, 3084, 29918, 355, 448, 5235, 976, 10289, 29918, 3188, 29897, 426, 32010, 2]]","[-0.03275968134403229, -0.13232605159282684, -0.2502649426460266, -0.7196565270423889, -1.1727120876312256, -0.00915697030723095, -0.3092518150806427, -0.033330585807561874, -0.0002076410164590925, -0.11261626332998276, -0.00025042734341695905, -0.18002896010875702, -0.8987693190574646, -0.029287101700901985, -4.851700214203447e-05, -0.05085938051342964, -0.00025459862081333995, -0.0004949536523781717, -0.04040679335594177, -0.00661054952070117, -0.14252562820911407, 0.0]",8.093318939208984,1,5,False,31,25,25,-1.0081398852034722,True,21,2.3815499163686775
~/anvil/data/cve-targets/php_repo_ext_exif_exif.c,1920,1915,1925,return info->offset_base + offset;,return info->valid_start + offset;,	return info->valid_start + offset;,1.0283203125,"[[12, 2457, 5235, 976, 3084, 29918, 2962, 718, 9210, 29936, 32010, 2]]","[-0.18681581318378448, -0.14225701987743378, -0.2812309265136719, -0.0007238152320496738, -0.5789355039596558, -0.002040567807853222, -0.008842241950333118, -0.002983050188049674, -0.011486821807920933, -0.0024909917265176773, -0.39346981048583984, 0.0]",13.74304485321045,1,5,False,11,11,11,-1.1424055980280052,True,9,1.8553498160777415
~/anvil/data/cve-targets/php_repo_ext_exif_exif.c,2939,2934,2944,if (maker_note->offset >= value_len) {,if (maker_note->offset + value_len > value_len) {,	if (maker_note->offset + value_len > value_len) {,0.233154296875,"[[12, 361, 313, 28107, 29918, 6812, 976, 10289, 718, 995, 29918, 2435, 1405, 995, 29918, 2435, 29897, 426, 32010, 2]]","[-0.5838384628295898, -0.1049049124121666, -0.32491210103034973, -0.679061233997345, -0.0015630420530214906, -0.004923718981444836, -0.3084094524383545, -0.3026866018772125, -1.072153091430664, -0.3683111369609833, -4.684815212385729e-05, -0.0024082250893115997, -0.09546288847923279, -0.42225757241249084, -0.0004362108593340963, -0.06428495794534683, -0.05267186462879181, -0.013406957499682903, -0.16384801268577576, 0.0]",9.379343032836914,1,5,False,16,19,19,-1.0243350468766463,True,13,2.1257536388388014
~/anvil/data/cve-targets/php_repo_ext_exif_exif.c,2970,2965,2975,},},"	}

	/* Read the directory */
	for (i = 0; i < NumDirEntries; i++) {
		if (php_exif_read_tag(ImageInfo, dir_start, i, offset_mode, value_offset, value_len, offset_diff, IFD_EXIF) == false) {
			return false;
		}
	}

	/* Check for next IFD */
	if (ImageInfo->ifd_nesting_level < EXIF_IFD_NESTING_LIMIT) {
		if (php_exif_process_IFD_in_IFD(ImageInfo, dir_start, offset_mode, value_offset, value_len, offset_diff, IFD_EXIF) == false)",0.0012950897216796,"[[12, 29913, 13, 13, 12, 5515, 7523, 278, 3884, 3776, 13, 12, 1454, 313, 29875, 353, 29871, 29900, 29936, 474, 529, 11848, 9170, 5292, 2722, 29936, 474, 4862, 426, 13, 12, 12, 361, 313, 1961, 29918, 735, 361, 29918, 949, 29918, 4039, 29898, 2940, 3401, 29892, 4516, 29918, 2962, 29892, 474, 29892, 9210, 29918, 8513, 29892, 995, 29918, 10289, 29892, 995, 29918, 2435, 29892, 9210, 29918, 12765, 29892, 10762, 29928, 29918, 5746, 6545, 29897, 1275, 2089, 29897, 426, 13, 12, 12, 12, 2457, 2089, 29936, 13, 12, 12, 29913, 13, 12, 29913, 13, 13, 12, 5515, 5399, 363, 2446, 10762, 29928, 3776, 13, 12, 361, 313, 2940, 3401, 976, 361, 29881, 29918, 17510, 292, 29918, 5563, 529, 8528, 6545, 29918, 6545, 29928, 29918, 8186, 1254, 4214, 29918, 5265, 26349, 29897, 426, 13, 12, 12, 361, 313, 1961, 29918, 735, 361, 29918, 5014, 29918, 6545, 29928, 29918, 262, 29918, 6545, 29928, 29898, 2940, 3401, 29892, 4516, 29918, 2962, 29892, 9210, 29918, 8513, 29892, 995, 29918, 10289, 29892, 995, 29918, 2435, 29892, 9210, 29918, 12765, 29892, 10762, 29928, 29918, 5746, 6545, 29897, 1275, 2089, 29897]]","[-0.0023192670196294785, -0.0012894895626232028, -0.07757173478603363, -0.5313007831573486, -0.07174090296030045, -1.0720674991607666, -2.583780288696289, -1.525827407836914, -1.1618419885635376, -0.7857422232627869, -0.01920299232006073, -0.1654234677553177, -1.1903793811798096, -0.04724908992648125, -0.21286851167678833, -0.5859551429748535, -0.006032118573784828, -0.009963658638298512, -0.043388888239860535, -0.036034323275089264, -0.008093773387372494, -0.011134041473269463, -5.054346183896996e-05, -1.645074735279195e-05, -1.1920928244535389e-07, -0.01782926917076111, -0.09258592128753662, -0.008983196690678596, -0.020128510892391205, -0.006732163019478321, -0.06879488378763199, -0.003774781245738268, -1.7172660827636719, -0.891543984413147, -1.2825603485107422, -0.00037245964631438255, -0.8219414949417114, -0.0025049042887985706, -0.0015697074122726917, -0.6057255268096924, -0.0009017692063935101, -1.0637447834014893, -0.46731066703796387, -0.4021613895893097, -0.000606710382271558, -0.01188577525317669, -0.8320424556732178, -0.021841928362846375, -0.13144268095493317, -0.45713335275650024, -1.4083844423294067, -0.1594192087650299, -1.8121974468231201, -0.46853360533714294, -0.8242954611778259, -0.6018388271331787, -1.8189544677734375, -0.011588755063712597, -1.2453720569610596, -0.8704625964164734, -1.133093237876892, -0.004685494117438793, -0.3526597321033478, -0.5161047577857971, -2.103106737136841, -0.14439710974693298, -1.4482263326644897, -0.5633074045181274, -2.3136563301086426, -0.012000977993011475, -0.7083152532577515, -1.0642043352127075, -0.0015124559868127108, -0.9149501919746399, -0.4362974762916565, -0.5530718564987183, -0.010080144740641117, -0.08242423832416534, -0.0027997603174299, -0.013825368136167526, -0.000406301929615438, -0.003827746957540512, -0.20439863204956055, -0.014188130386173725, -0.00010251473577227443, -0.009935213252902031, -0.0004189328756183386, -0.0002797450579237193, -0.0008992680232040584, -0.002778481226414442, -0.020590247586369514, -0.047246359288692474, -0.00827384926378727, -0.28888121247291565, -0.03874533250927925, -0.6721539497375488, -1.7769880294799805, -0.7333402037620544, -1.283128261566162, -0.6404755711555481, -0.00015710550360381603, -0.29157283902168274, -0.0013367536012083292, -0.026713615283370018, -0.6058412790298462, -0.31830650568008423, -1.2937920093536377, -0.0001908358681248501, -0.0022272085770964622, -1.2471683025360107, -0.006951315328478813, -0.0194587130099535, -0.4796134829521179, -0.0025429551023989916, -0.12421539425849915, -0.007986516691744328, -0.9112088680267334, -1.131287932395935, -0.006190293002873659, -0.0007350126979872584, -0.33679863810539246, -8.344646857949556e-07, -3.755022044060752e-05, -0.5759915113449097, -4.410734163684538e-06, -0.0009454786195419729, -0.0007968349382281303, -0.6865798234939575, -0.00010001159535022452, -0.13457199931144714, -0.014040854759514332, -0.007292556576430798, -0.025530889630317688, -0.002761838026344776, -1.3351019620895386, -0.4764772355556488, -0.9827366471290588, -4.386805812828243e-05, -0.3939865529537201, -0.00017414960893802345, -0.00020454221521504223, -0.5726941227912903, -0.005395849235355854, -0.01479087769985199, -0.00035506143467500806, -0.01209932565689087, -0.011571550741791725, -2.5748875486897305e-05, -1.0463242530822754, -1.156323378381785e-05, -0.01683996431529522, -0.05518817529082298, -1.5735502529423684e-05, -0.004478899762034416, -0.827234148979187, -0.001802606973797083, -0.020504646003246307, -0.9031833410263062, -0.900253415107727, -0.016567394137382507, -0.05232234671711922, -0.03647475317120552, -0.24141986668109894, -0.00013779645087197423, -0.007308769505470991, -0.027406875044107437, -0.048428453505039215, -0.00024625606602057815, -0.0037178935017436743, -0.03150912746787071, -0.0788566991686821, -0.00046456989366561174, -0.0005336767644621432, -0.41743090748786926, -0.43456190824508667, -7.855583680793643e-05, -0.005078392568975687, -0.04154839366674423, -0.00013410145766101778, -0.22326533496379852, -0.02452603168785572, -0.016096051782369614, -0.0050725811161100864]",9.41384506225586,1,5,True,2,96,2,-1.02521896898373,False,1,0.9320123992672478
~/anvil/data/cve-targets/php_repo_ext_exif_exif.c,3630,3625,3635,if (!data) {,if (!data) {,"
	if (!data) {",1.21875,"[[13, 12, 361, 5384, 1272, 29897, 426, 32010, 2]]","[-0.43409648537635803, -0.07740448415279388, -0.4082792401313782, -0.6597336530685425, -0.6612553596496582, -0.5487935543060303, -0.04743987321853638, -0.23400619626045227, 0.0]",7.297513961791992,1,5,True,12,12,12,-1.0283978023630596,False,5,1.2061259898907413
~/anvil/data/cve-targets/php_repo_ext_exif_exif.c,3657,3652,3662,marker = c;,pos += 2;,		pos += 2;,1.2451171875,"[[12, 12, 1066, 4619, 29871, 29906, 29936, 32010, 2]]","[-0.2926942706108093, -0.1287544220685959, -0.8825817108154297, -0.8982290029525757, -0.21324922144412994, -0.39045947790145874, -0.04529857635498047, -0.6968194842338562, 0.0]",8.433162689208984,1,5,False,7,7,7,-1.0003892344578191,True,4,2.2298546459720816
~/anvil/data/cve-targets/php_repo_ext_exif_exif.c,3659,3654,3664,if (pos+length>=ImageInfo->Thumbnail.size) {,if (length < 2) {,"		if (length < 2) {
			exif_error_docref(NULL EXIFERR_CC, ImageInfo, E_WARNING, ""Thumbnail: invalid length"");",1.6123046875,"[[12, 12, 361, 313, 2848, 529, 29871, 29906, 29897, 426, 13, 12, 12, 12, 735, 361, 29918, 2704, 29918, 1514, 999, 29898, 10074, 8528, 6545, 21662, 29918, 4174, 29892, 7084, 3401, 29892, 382, 29918, 29956, 25614, 29892, 376, 1349, 21145, 29901, 8340, 3309, 1496, 32010, 2]]","[-0.1014411598443985, -0.03226405754685402, -0.6779093742370605, -0.24475491046905518, -0.35717642307281494, -0.371612012386322, -0.028118662536144257, -0.051192644983530045, -0.16660012304782867, -0.5078160762786865, -0.11529647558927536, -0.2534695565700531, -0.00025018901214934886, -0.0018791175680235028, -0.8578171730041504, -2.3603161025675945e-05, -0.00020847532141488045, -0.20932155847549438, -0.0035091983154416084, -0.01464521698653698, -0.00011002412065863609, -0.013124154880642891, -0.0033555887639522552, -0.023888621479272842, -2.3841830625315197e-06, -0.0003033416287507862, -1.1920858014491387e-05, -0.00016139635408762842, -0.0008500776602886617, -0.0341932475566864, -0.00011598391574807465, -0.0030488932970911264, -0.0017611959483474493, -3.266281055402942e-05, -0.46741846203804016, -6.83045873302035e-05, -0.002238389104604721, -0.01482129842042923, -1.0388355255126953, -0.0015062665333971381, -0.08801295608282089, -1.6490938663482666, -1.2801443338394165, -1.3511078357696533, -0.3069765269756317, -5.960462772236497e-07]",7.086034297943115,1,5,False,22,30,13,-1.033849331297007,True,15,2.359494730460045
~/anvil/data/cve-targets/php_repo_ext_exif_exif.c,3679,3674,3684,/* handle SOFn block */,case M_SOF16:,"			case M_SOF16:
			case M_SOF17:
			case M_SOF18:
			case M_SOF19:
			case M_SOF20:
			case M_SOF21:
			case M_SOF22:
			case M_SOF23:
			case M_SOF24:
			case M_SOF25:
			case M_SOF26:
			case M_SOF27:
			case M_SOF28:
			case M_SOF29:
			case M_SOF30:
			",1.275390625,"[[12, 12, 12, 4878, 341, 29918, 6156, 29943, 29896, 29953, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29896, 29955, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29896, 29947, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29896, 29929, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29906, 29900, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29906, 29896, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29906, 29906, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29906, 29941, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29906, 29946, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29906, 29945, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29906, 29953, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29906, 29955, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29906, 29947, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29906, 29929, 29901, 13, 12, 12, 12, 4878, 341, 29918, 6156, 29943, 29941, 29900, 29901, 13, 12, 12, 12]]","[-0.06028415635228157, -0.0010696887038648129, -0.0005946775199845433, -0.4370135962963104, -0.0010064542293548584, -1.2874520507466514e-05, -0.01744474656879902, -0.02218523994088173, -0.40037307143211365, -0.27912214398384094, -0.0007148809381760657, -0.04592487961053848, -0.03672609478235245, -0.0002474478678777814, -0.00046623803791590035, -0.1322922259569168, -0.00029762129997834563, -1.3112935448589269e-05, -0.0018955373670905828, -0.0010258655529469252, -0.017573248594999313, -0.0007945717661641538, -0.0004797023138962686, -0.15647579729557037, -0.06979238241910934, -0.00029690624796785414, -0.0027268866542726755, -0.5351332426071167, -0.001954194623976946, -0.00010096516780322418, -0.06404101103544235, -0.00851417612284422, -0.23509755730628967, -0.033847350627183914, -0.00023731753753963858, -0.013646641746163368, -0.01508084125816822, -0.00010239553375868127, -0.00015317220822907984, -0.03066195175051689, -0.00011777184408856556, -5.245195097813848e-06, -0.00381112121976912, -0.0009240409708581865, -0.0347759984433651, -0.00020287363440729678, -0.0001591317413840443, -0.022058609873056412, -0.03117789886891842, -0.00014554394874721766, -0.0005977750988677144, -0.0752132460474968, -0.00024911639047786593, -3.886147169396281e-05, -0.0014759134501218796, -0.0014477020595222712, -0.07948601245880127, -0.012057749554514885, -0.00025293012731708586, -0.004897146951407194, -0.0038176528178155422, -4.0649541915627196e-05, -7.450303382938728e-05, -0.007852399721741676, -3.707340147229843e-05, -1.0728830375228426e-06, -0.0003405229654163122, -9.262132516596466e-05, -0.0015806573210284114, -0.000940595637075603, -0.00012015574611723423, -0.00331911351531744, -0.0044657266698777676, -3.2066785934148356e-05, -6.985420623095706e-05, -0.006074182223528624, -4.8040190449682996e-05, -4.887569048150908e-06, -0.00022909401741344482, -7.164221460698172e-05, -0.0014523444697260857, -0.0006027788622304797, -2.5629668016335927e-05, -0.0009550062823109329, -0.0017481058603152633, -2.2649508537142538e-05, -6.05564855504781e-05, -0.0015445933677256107, -1.1324817933200393e-05, -1.4305104514278355e-06, -7.86750388215296e-05, -1.7523612768854946e-05, -0.0009054613183252513, -9.262132516596466e-05, -0.00012015574611723423, -0.003370321122929454, -0.008476587943732738, -6.282132380874828e-05, -0.00022396916756406426, -0.008195934817194939, -8.856858039507642e-05, -5.125986263010418e-06, -0.00029869386344216764, -0.00011062010162277147, -0.0019913145806640387, -0.001111366436816752, -2.884823152271565e-05, -0.0010969580616801977, -0.0011106519959867, -5.722029527532868e-06, -3.0040289857424796e-05, -0.0010525407269597054, -1.823885577323381e-05, -9.536738616588991e-07, -7.450303382938728e-05, -2.1457441107486375e-05, -0.000271879427600652, -0.00016068121476564556, -5.125868119648658e-05, -0.0019311128417029977, -0.0030960743315517902, -5.400034933700226e-05, -0.00010084597306558862, -0.003021796001121402, -2.9205850296420977e-05, -1.0728830375228426e-06, -8.868777513271198e-05, -3.2782016205601394e-05, -0.0005421360838226974, -0.00021944021864328533, -1.537788011773955e-05, -0.0008132726070471108, -0.0009052231325767934, -5.483612312673358e-06, -2.1576648578047752e-05, -0.0007799206068739295, -1.168244216387393e-05, -7.152555099310121e-07, -4.362964682513848e-05, -9.775113539944869e-06, -0.00020001317898277193, -0.00013255194062367082, -1.6331539882230572e-05, -0.0009291622554883361, -0.0013598490040749311, -1.2278481335670222e-05, -2.4676019165781327e-05, -0.0009436921682208776, -1.7165990357170813e-05, -3.099436753473128e-06, -0.00011634149996098131, -1.4781842764932662e-05, -0.00042012447374872863, -0.0002864189154934138, -2.47952248173533e-05, -0.0011120808776468039, -0.0009220162755809724, -9.775113539944869e-06, -2.4914430468925275e-05, -0.0008873577462509274, -8.22540732769994e-06, -7.152555099310121e-07, -5.125868119648658e-05, -1.7165990357170813e-05, -0.0003051292151212692, -1.9788545614574105e-05, -3.8980677345534787e-05, -0.0021000492852181196, -0.002419760450720787, -1.4066597032069694e-05, -2.5629668016335927e-05, -0.001848180778324604, -3.0874729418428615e-05, -1.5497195136049413e-06, -0.00010561384988250211, -3.194758028257638e-05, -0.0009445258183404803, -0.00030655929003842175, -6.341733387671411e-05, -0.0015061474405229092, -0.0014759134501218796, -1.6569954823353328e-05, -5.495397272170521e-05]",5.308942794799805,1,5,False,2,61,5,-1.0808160294319322,True,6,1.956475835226847
~/anvil/data/cve-targets/php_repo_ext_exif_exif.c,3710,3705,3715,if (ImageInfo->FileSize >= dir_offset+2) {,int tiff_header_size = 8;,"	int tiff_header_size = 8;
	int tiff_header_offset = 0;
	int tiff_header_found = 0;
	int tiff_header_offset_save = 0;
	int tiff_header_size_save = 0;
	int tiff_header_found_save = 0;
	int tiff_header_offset_save2 = 0;
	int tiff_header_size_save2 = 0;
	int tiff_header_found_save2 = 0;
	int tiff_header_offset_save3 = 0;
	int tiff_header_size_save3 = 0;
	int tiff_header_found_save3 = 0;
	int t",0.93115234375,"[[12, 524, 260, 2593, 29918, 6672, 29918, 2311, 353, 29871, 29947, 29936, 13, 12, 524, 260, 2593, 29918, 6672, 29918, 10289, 353, 29871, 29900, 29936, 13, 12, 524, 260, 2593, 29918, 6672, 29918, 11940, 353, 29871, 29900, 29936, 13, 12, 524, 260, 2593, 29918, 6672, 29918, 10289, 29918, 7620, 353, 29871, 29900, 29936, 13, 12, 524, 260, 2593, 29918, 6672, 29918, 2311, 29918, 7620, 353, 29871, 29900, 29936, 13, 12, 524, 260, 2593, 29918, 6672, 29918, 11940, 29918, 7620, 353, 29871, 29900, 29936, 13, 12, 524, 260, 2593, 29918, 6672, 29918, 10289, 29918, 7620, 29906, 353, 29871, 29900, 29936, 13, 12, 524, 260, 2593, 29918, 6672, 29918, 2311, 29918, 7620, 29906, 353, 29871, 29900, 29936, 13, 12, 524, 260, 2593, 29918, 6672, 29918, 11940, 29918, 7620, 29906, 353, 29871, 29900, 29936, 13, 12, 524, 260, 2593, 29918, 6672, 29918, 10289, 29918, 7620, 29941, 353, 29871, 29900, 29936, 13, 12, 524, 260, 2593, 29918, 6672, 29918, 2311, 29918, 7620, 29941, 353, 29871, 29900, 29936, 13, 12, 524, 260, 2593, 29918, 6672, 29918, 11940, 29918, 7620, 29941, 353, 29871, 29900, 29936, 13, 12, 524, 260]]","[-0.6082601547241211, -1.6715539693832397, -2.695518970489502, -0.22542023658752441, -0.07735671103000641, -0.13782772421836853, -0.13104194402694702, -0.3000856339931488, -0.30778777599334717, -0.5197572708129883, -0.7786884307861328, -0.27224647998809814, -0.11792968213558197, -0.7230178117752075, -0.7426518201828003, -1.3797193765640259, -0.014473569579422474, -0.0016742035513743758, -0.9021303653717041, -0.07080521434545517, -0.342033326625824, -0.08993635326623917, -0.09764117002487183, -0.09201351553201675, -0.030224157497286797, -0.034564126282930374, -0.49099886417388916, -0.4700023829936981, -1.279349446296692, -0.019996831193566322, -0.0017433458706364036, -0.8310631513595581, -0.03996935114264488, -1.9080278873443604, -0.07132872194051743, -0.027887290343642235, -0.05754974111914635, -0.014772905968129635, -0.010522362776100636, -0.5007497668266296, -0.5148850083351135, -1.4095901250839233, -0.010246766731142998, -0.002412268426269293, -0.7436106204986572, -0.03478163853287697, -1.734731674194336, -0.03975743427872658, -1.9405461549758911, -0.3388872742652893, -0.09299562126398087, -0.004742564167827368, -0.014828345738351345, -0.01424665842205286, -0.3925234079360962, -0.5119956731796265, -0.9451671838760376, -0.0053121368400752544, -0.0008390005677938461, -0.26490628719329834, -0.00468395184725523, -0.6548075675964355, -0.0007129749283194542, -0.031230473890900612, -0.031309038400650024, -0.019922278821468353, -0.09012951701879501, -0.002404181519523263, -0.00328132975846529, -0.489676296710968, -0.48243439197540283, -1.0746095180511475, -0.010504196397960186, -0.001965378178283572, -0.34126612544059753, -0.008569609373807907, -1.0545305013656616, -0.0025430740788578987, -0.0249381884932518, -0.01008970383554697, -0.006463930010795593, -0.007582218386232853, -0.0007848043460398912, -0.004477950278669596, -0.5022706985473633, -0.4792330265045166, -1.2790918350219727, -0.009680116549134254, -0.002654007636010647, -0.3344753384590149, -0.008979888632893562, -1.392704963684082, -0.0730239599943161, -1.1440937519073486, -0.6108831763267517, -0.03056437149643898, -0.009991866536438465, -0.0024430686607956886, -0.002864426700398326, -0.005756585858762264, -0.03458934649825096, -0.02655145525932312, -0.022196898236870766, -0.00018571082910057157, -8.880697714630514e-05, -0.004936056211590767, -0.0002499506517779082, -0.016809720546007156, -0.0002454218047205359, -0.000205018965061754, -0.00028772983932867646, -0.0028397017158567905, -0.0010942192748188972, -0.0023085628636181355, -0.00024279984063468874, -0.0006208876147866249, -0.02787569724023342, -0.02010491117835045, -0.013578199781477451, -0.00011455356434453279, -1.645074735279195e-05, -0.001872811233624816, -0.00012516192509792745, -0.006574192550033331, -0.0008436457719653845, -0.0003649522550404072, -0.00020323118951637298, -0.001797847100533545, -0.0008220868767239153, -0.0005469018360599875, -0.000497336674015969, -0.0023382960353046656, -0.45309826731681824, -0.40125977993011475, -0.9034878611564636, -0.004972828086465597, -0.002732830820605159, -0.12091042846441269, -0.003924764227122068, -0.14522810280323029, -0.01829066313803196, -0.05581136420369148, -0.02535947412252426, -0.0026788560207933187, -0.001280560391023755, -0.0006852186052128673, -0.00037305548903532326, -0.001135300612077117, -0.007053356617689133, -0.0037691995967179537, -0.003990901168435812, -6.19869097135961e-05, -3.158996332786046e-05, -0.0009495278936810791, -2.372236667724792e-05, -0.006833871826529503, -0.00017188502533826977, -8.689979586051777e-05, -0.0005296258023008704, -0.000705589191056788, -0.00013791563105769455, -0.00016330339713022113, -0.00027509720530360937, -0.0007701530121266842, -0.0037770376075059175, -0.0020300988107919693, -0.002477792324498296, -7.986703712958843e-05, -2.8490614567999728e-05, -0.0006338732782751322, -6.55629628454335e-05, -0.0024346255231648684, -0.00011729506513802335, -0.0001967951684491709, -0.0002748588449321687, -0.0007015389273874462, -0.0002366024418734014, -0.0001472126314183697, -0.0002044230350293219, -0.002190335188060999, -0.4118761122226715, -0.34883883595466614, -0.49126094579696655]",8.061059951782227,1,5,False,19,89,8,-1.008953252436459,True,15,2.299075306520449
~/anvil/data/cve-targets/php_repo_ext_exif_exif.c,4354,4349,4359,exif_scan_thumbnail(&ImageInfo);,"zend_value_error(""Invalid thumbnail size"");","			zend_value_error(""Invalid thumbnail size"");
			RETURN_THROWS();",1.1923828125,"[[12, 12, 12, 29920, 355, 29918, 1767, 29918, 2704, 703, 13919, 266, 21145, 2159, 1496, 13, 12, 12, 12, 1525, 29911, 24015, 29918, 4690, 1672, 7811, 890, 32010, 2]]","[-0.12179439514875412, -0.0018742390675470233, -0.00507127633318305, -1.389160394668579, -0.5594638586044312, -0.0001037067049765028, -0.969367504119873, -0.0021701136138290167, -0.006276775151491165, -0.10543651878833771, -1.90419340133667, -0.636013388633728, -0.005448728799819946, -1.4758297204971313, -0.3563285171985626, -0.6855738759040833, -0.007429115008562803, -0.00014709345123264939, -0.017265260219573975, -0.5762856602668762, -0.0257865060120821, -4.1960789531003684e-05, -0.00048387263086624444, -0.41456013917922974, -0.00047672350774519145, -0.0026101351249963045, -0.004704715684056282, -0.06330198049545288, -1.1920928244535389e-07]",7.021286964416504,1,5,False,11,19,12,-1.0355241611276311,True,11,2.1715362726570366
